Name,Status,Constituency Office Expenses 1,Other Expenses 2,Allowances 3,Staff cost 4,Total Expenditure
,,(View Breakdown),(View Breakdown),(View Breakdown),(View Breakdown),
,,,,,,
"Agnew, Steven",1,"£6,495.78","£4,721.23",£473.34,"£22,946.49","£34,636.84"
"Aiken, Steve",1,"£14,124.33",£600.00,"£2,550.00","£47,818.02","£65,092.35"
"Allen, Andy",1,"£14,982.62","£26,125.26",£525.96,"£47,552.74","£89,186.58"
"Allister, Jim",1,"£15,490.95",£518.53,"£2,481.96","£55,667.51","£74,158.95"
Anderson Martina,3,"£1,183.52",£70.26,£865.95,£0.00,"£2,119.73"
"Armstrong, Kellie",1,"£14,172.49",£423.02,"£1,850.04","£41,015.18","£57,460.73"
"Bailey, Clare",1,"£14,438.22",£294.36,£849.96,"£37,184.39","£52,766.93"
"Barton, Rosemary",1,"£13,977.84",£0.00,"£7,450.08","£42,272.21","£63,700.13"
"Beattie, Doug",1,"£11,935.72",£363.19,"£3,450.00","£48,331.38","£64,080.29"
"Beggs, Roy",1,"£11,710.00",£450.78,"£3,630.00","£45,637.56","£61,428.34"
"Blair, John",3,"£13,590.72",£577.22,"£2,550.00","£48,702.72","£65,420.66"
"Boylan, Cathal",1,"£14,413.38",£563.07,"£5,299.92","£40,711.13","£60,987.50"
"Boyle, Michaela",1,£407.37,"£1,077.05",£114.25,"£27,123.07","£28,721.74"
"Bradley, Maurice",1,"£11,561.26",£220.67,"£3,243.96","£46,326.72","£61,352.61"
"Bradley, Paula",1,"£15,595.76",£598.46,£849.96,"£51,069.98","£68,114.16"
"Bradley, Sinead",1,"£14,974.13",£600.00,"£3,999.96","£44,363.76","£63,937.85"
"Bradshaw, Paula",1,"£10,972.34",£578.56,£849.96,"£47,517.51","£59,918.37"
"Buchanan, Keith",1,"£15,247.99",£583.45,"£4,138.96","£41,916.74","£61,887.14"
"Buchanan, Thomas",1,"£16,644.58",£201.62,"£6,950.04","£53,030.57","£76,826.81"
"Buckley, Jonathan",1,"£14,309.89",£355.72,"£3,450.00","£33,755.07","£51,870.68"
"Bunting, Joanne",1,"£15,832.09",£476.14,£621.96,"£45,577.34","£62,507.53"
"Butler, Robbie",1,"£14,275.33",£285.95,"£2,349.96","£49,392.00","£66,303.24"
"Cameron, Pam",1,"£16,110.44",£578.71,"£2,550.00","£47,674.01","£66,913.16"
"Carroll, Gerry",1,"£15,781.91",£0.00,£285.96,"£45,435.73","£61,503.60"
"Catney,Pat",1,"£14,947.86",£600.00,"£2,349.96","£45,968.42","£63,866.24"
"Chambers, Alan",1,"£14,301.02",£600.00,£627.96,"£43,569.62","£59,098.60"
"Clarke, Trevor",1,"£16,045.49",£466.06,"£2,406.00","£46,349.10","£65,266.65"
"Dallat, John",1,"£11,161.94",£559.42,"£1,254.97","£48,999.72","£61,976.05"
"Dickson, Stewart",1,"£16,495.88",£600.00,"£1,290.00","£56,424.72","£74,810.60"
"Dillon, Linda",1,"£7,804.09",£531.60,"£5,299.92","£49,296.61","£62,932.22"
Dodds Diane,3,£0.00,£0.00,£185.74,£0.00,£185.74
"Dolan, Jemma",1,"£4,645.68",£465.33,"£7,450.08","£42,261.53","£54,822.62"
"Dunne, Gordon",1,"£16,800.00",£273.61,£798.96,"£48,724.58","£66,597.15"
"Durkan, Mark H",1,"£14,981.34",£600.00,"£5,913.96","£44,814.87","£66,310.17"
"Easton, Alex",1,"£12,881.84",£575.96,"£1,149.96","£50,802.84","£65,410.60"
"Eastwood, Colum",1,"£6,476.17","£3,152.58","£4,298.38","£48,113.04","£62,040.17"
