Name,Key ,Constituency Office Expenses 1(View Breakdown),Other Expenses 2(View Breakdown),Allowances 3(View Breakdown),Staff cost 4(View Breakdown),Total Expenditure
"Aiken, Steve",1,"£17,678.09",£0.00,"£2,384.84","£97,630.41","£117,693.34"
"Allen, Andy",1,"£14,347.78","£34,156.76",£567.94,"£91,922.90","£140,995.38"
"Allister, Jim",1,"£16,648.39",£0.00,"£4,858.02","£96,981.13","£118,487.54"
"Anderson, Martina",2,"£5,873.30","£3,338.89","£2,784.57","£54,757.21","£66,753.97"
"Armstrong, Kellie",1,"£16,028.86",£0.00,"£1,838.17","£67,724.45","£85,591.48"
"Bailey, Clare",1,"£15,343.65",£0.00,£843.51,"£83,827.95","£100,015.11"
"Barton, Rosemary",1,"£14,047.56",£0.00,"£7,383.33","£71,095.92","£92,526.81"
"Beattie, Doug",1,"£12,305.41",£0.00,"£3,420.97","£91,000.91","£106,727.29"
"Beggs, Roy",1,"£14,048.54",£0.00,"£3,717.74","£70,942.92","£88,709.20"
"Blair, John",1,"£14,151.34",£0.00,"£2,530.65","£95,066.26","£111,748.25"
"Boylan, Cathal",1,"£13,806.76",£0.00,"£5,253.68","£90,045.82","£109,106.26"
"Bradley, Maurice",1,"£13,367.50",£0.00,"£5,742.41","£80,769.44","£99,879.35"
"Bradley, Paula",5,"£18,089.73",£91.40,£840.82,"£94,281.69","£113,303.64"
"Bradley, Sinead",5,"£15,655.56",£778.09,"£3,956.95","£87,899.49","£108,290.09"
"Bradshaw, Paula",1,"£12,024.94",£0.00,£843.51,"£96,168.72","£109,037.17"
"Brogan, Nicola",1,"£1,828.90",£0.00,"£7,185.48","£89,308.96","£98,323.34"
"Buchanan, Keith",1,"£16,450.84",£0.00,"£5,253.64","£102,928.51","£124,632.99"
"Buchanan, Tom",1,"£20,755.34",£0.00,"£7,185.52","£85,387.23","£113,328.09"
"Buckley, Jonathan",1,"£17,569.16",£0.00,"£3,420.97","£91,647.11","£112,637.24"
"Bunting, Joanne",1,"£17,329.27",£0.00,£843.51,"£85,932.91","£104,105.69"
"Butler, Robbie",1,"£15,821.11",£0.00,"£2,332.76","£74,378.36","£92,532.23"
"Cameron, Pam",1,"£18,959.64",£0.00,"£2,530.65","£96,924.58","£118,414.87"
"Carroll, Gerry",1,"£15,645.81",£0.00,£422.09,"£73,838.46","£89,906.36"
"Catney, Pat",1,"£15,244.72",£0.00,"£2,332.76","£85,754.42","£103,331.90"
"Chambers, Alan",1,"£14,961.92",£0.00,"£1,140.28","£61,340.70","£77,442.90"
"Clarke, Trevor",1,"£18,221.79",£0.00,"£2,530.65","£96,512.88","£117,265.32"
"Delargy, Pádraig",3,"£4,368.59",£0.00,"£3,319.04","£37,801.40","£45,489.03"
"Dickson, Stewart",1,"£18,449.76",£0.00,"£3,717.74","£95,266.13","£117,433.63"
"Dillon, Linda",1,"£12,850.49",£0.00,"£5,253.68","£84,648.58","£102,752.75"
"Dodds, Diane",1,"£16,706.13",£0.00,"£2,865.97","£68,869.69","£88,441.79"
"Dolan, Jemma",1,"£5,682.68",£0.00,"£7,383.33","£92,813.04","£105,879.05"
"Dunne, Gordon",2,"£3,692.49","£1,752.55","£25,717.96","£30,159.60","£61,322.60"
"Dunne, Stephen",3,"£13,028.62",£0.00,£862.37,"£33,745.49","£47,636.48"
"Durkan, Mark",1,"£13,317.57",£0.00,"£5,677.96","£89,624.82","£108,620.35"
"Easton, Alex",1,"£14,325.26",£0.00,"£1,140.28","£89,971.51","£105,437.05"
"Ennis, Sinead",1,"£16,847.99",£0.00,"£3,967.70","£89,766.23","£110,581.92"
Erskine Deborah,3,"£4,196.11",£0.00,"£3,458.09","£19,490.04","£27,144.24"
